Teencode,Meaning
ctrai,con_trai
khôg,không
bme,bố_mẹ
cta,chúng_ta
mih,mình
mqh,mối_quan_hệ
cgai,con_gái
nhữg,những
mng,mọi_người
svtn,sinh_viên_tình_nguyện
r,rồi
qtam,quan_tâm
thươg,thương
qtâm,quan_tâm
chug,chug
trườg,trường
thoy,thôi
đki,đăng ký
atsm,ảo_tưởng_sức_mạnh
ạk,ạ
cv,công_việc
vch,vãi_chưởng
cùg,cùng
pn,bạn
pjt,biết
thjk,thích
keke,ce ce
ktra,kiểm_tra
nek,nè
cgái,con_gái
nthe,như_thế
chúg,chúng
kái,cái
tìh,tình
phòg,phòng
lòg,lòng
từg,từng
rằg,rằng
sốg,sống
thuj,thôi
thuơng,thương
càg,càng
đky,đăng_ký
bằg,bằng
sviên,sinh_viên
ák,á
đág,đáng
nvay,như_vậy
nhjeu,nhiều
xg,xuống
zồi,rồi
trag,trang
zữ,dữ
atrai,anh_trai
kte,kinh_tế
độg,động
lmht,liên_minh_huyền_thoại
gắg,gắng
đzal,đẹp_trai
thgian,thời_gian
plz,làm_ơn
đồg,đồng
btrai,bạn_trai
nthê,như_thế
hìhì,hì_hì
vọg,vọng
hihe,hi_he
đôg,đông
răg,răng
thườg,thường
tcảm,tình_cảm
đứg,đứng
ksao,không_sao
dz,đẹp_trai
hjxhjx,hix_hix
cmày,chúng_mày
xuốg,xuống
nkư,như
lquan,liên_quan
tiếg,tiếng
hazj,hai
xih,xinh
hìh,hình
thàh,thành
ngke,nghe
dzậy,dậy
teencode,tin cốt
tnào,thế nào
tưởg,tưởng
ctrinh,chương trình
phog,phong
hôg,không
zìa,gì
kũg,cũng
ntnao,như thế nào
trọg,trọng
nthế,như thế
năg,năng
ngđó,người đó
lquen,làm quen
riêg,riêng
ngag,ngang
hêhê,hê hê
bnhiu,bao nhiêu
ngốk,ngốc
kậu,cậu
highland,hai lừn
kqua,kết quả
htrc,hôm trước
địh,định
gđình,gia đinh
giốg,giống
csống,cuộc sống
xug,xùng
zùi,rồi
bnhiêu,bao nhiêu
cbị,chuẩn bị
kòn,còn
buôg,buông
csong,cuộc sống
chàg,chàng
chăg,chăng
ngàh,ngành
llac,liên lạc
nkưng,nhưng
nắg,nắng
tíh,tính
khoảg,khoảng
thík,thích
ngđo,người đó
ngkhác,người khác
thẳg,thẳng
kảm,cảm
dàh,dành
júp,giúp
lặg,lặng
vđê,vấn đề
bbè,bạn bè
bóg,bóng
dky,đăng ký
dòg,dòng
uốg,uống
tyeu,tình yêu
snvv,sinh nhật vui vẻ
đthoại,điện thoại
qhe,quan hệ
cviec,công việc
tượg,tượng
qà,quà
thjc,thích
nhưq,nhưng
cđời,cuộc đời
bthường,bình thường
zà,già
đáh,đánh
xloi,xin lỗi
zám,dám
qtrọng,quan trọng
bìh,bình
lz,làm gì
qhệ,quan hệ
đhbkhn,đại học bách khoa hà nội
hajzz,hai
kúa,c của
lz,làm gì
đhkhtn,đại học khoa học tự nhiên
đóg,đóng
cka,cha
lgi,làm gì
nvậy,như vậy
qả,quả
đkiện,điều kiện
nèk,nè
tlai,tương lai
bsĩ,bác sĩ
hkì,học kỳ
đcsvn,đảng cộng sản việt nam
vde,vấn đề
chta,chúng ta
òy,rồi
ltinh,linh tinh
ngyeu,người yêu
đthoai,điện thoại
snghĩ,suy nghĩ
nặg,nặng
họk,học
dừg,dừng
hphúc,hạnh phúc
hiha,hi ha
wtâm,quan tâm
thíck,thích
chuện,chuyện
lạh,lạnh
fây,phây
ntnày,như thế này
lúk,lúc
haj,hai
ngía,nghía
mớj,mới
hsơ,hồ sơ
ctraj,con trai
nyêu,người yêu
điiiiiii,đi
rồii,rồi
c,chị
kih,kinh
kb,kết bạn
hixxx,huhu
dthương,dễ thương
nhiềuuu,nhiều
ctrình,chương trình
mìnk,mình
mjh,mình
ng,người
vc,vợ chồng
uhm,ừm
thỳ,thì
nyc,người yêu cũ
tks,thanks
nàg,nàng
thôii,thôi
đjên,điên
bgái,bạn gái
vớii,với
xink,xinh
hđộng,hành động
đhọc,đại học
mk,mình
bn,bạn
thik,thích
cj,chị
mn,mọi người
nguoi,người
nógn,nóng
hok,không
ko,không
bik,biết
vs,với
cx,cũng
mik,mình
wtf,what the fuck
đc,được
cmt,comment
ck,chồng
chk,chồng
ngta,người ta
gđ,gia đình
oh,ồ
vk,vợ
ctác,công tác
sg,sài gòn
ae,anh em
ah,à
ạh,ạ
rì,gì
ms,mới
vn,việt nam
nhaa,nha
